ID	target	implied_statement
524408721473306625	minority groups	people in minority groups are all in gangs
394530795580174337	non-white people	non-white people are dangerous
794539075164401666	Immigrants	Immigrants are undesirable
901162469992808448	Anti-whites	Anti-whites hate white people
911282139706007553	Capitalists	Capitalists don't like white people.
900385822314303488	Democrats	Democrats are manipulative liars.
888774168677830656	Islamists	Islamists hate Jews
898464422129283072	Pakistani people	Pakistani people are dangerous.
900034622955954176	BLM	BLM is violent.
804125889600569344	Immigrants	Immigrants are inferior
907793198331940864	white people	White people are better than other races.
933183060660457473	Minorities	Minorities want to take over the world.
691630939844300802	whites	racism towards whites
919281555247267841	white people	White people are in trouble.
278381460593967104	White people	White people are too smart to be fooled.
796571461939036160	Minorities	Minorities are substandard people
946400251614818304	Whites	Whites are racists
306083456314654720	Muslims	Muslims are violent.
926987909533786114	Jews	Jews hate white people.
894764535310974976	white people	White people can do more than Mexicans.
897994046773317633	non-white people	non-white people are inferior
875146959283142656	white people	White people are dangerous.
899698464208035842	Blacks	Blacks are hypocrites
768890255638355972	non-white people	non-white people are the real racists
554752494367428608	Blacks, northerners and jews	Blacks, northerners and jews pretend to be superior
823332327455686657	white people	White people are stupid.
673208854893563904	Arabians	Arabians are criminals.
912129216367529984	black athletes	Black athletes are paid too much.
892862942177357825	white people	White people want to be black.
691834584967811072	Mexicans	Mexicans are morally weak.
556124359883243522	Minorities	Minorities are pushing out whites
924711545166286849	Whites	Whites are heathens
670674154069368832	Jews	Jews are devious
922323832140062721	non-white people	non-white people are inferior
868630145761980417	immigrants	immigrants add to America
929788257017237504	Jews	Jews are money grubbers
819638326147825664	Progressives	Progressives mischaracterize whites
883868359032528897	white people	White people should be proud of their race.
924671196355948544	white people	White people are trash.
832965396475080704	non-white people	non-white people are criminals
860526417272074240	Immigrants	Immigrants are invading America
896477868133429248	Muslims	Muslims are violent
843072923162365952	Blacks	Blacks steal whites property.
750456681281105920	white people	White people are superior.
834842985699299328	Minorities	Minorities are opposed to whites
761411186940272640	Gays	Gays are abnormal.
937121194884718592	Minorities	Minorities are subpar human beings
728645539592429568	white people	White people don't like non-white people.
210857835964276737	jews	jews hate white people
645421136176631809	conservative men	conservative men are not masculine
847001427520172033	white people	white people are hypocrites
918947790432210945	Blacks	Blacks are low quality.
939534450320445440	non-white people	non-white people are a threat
662601824726335488	Minorities	Minorities are inferior.
930227946115227649	Minorities	Minorities accuse whites falsely
905289097723379712	Minorities	Minorities are inferior to the white race
430533369454022656	Arabs	Arabs are evil and hate white people
935491956603543553	Black people	Black people are whiners
395258341296852992	non-white people	non-white people are inferior
932365718351474688	whites	whites are racists
205375765045460992	white people	White people need to unite.
899133398270201856	Jews	Jews are bad.
855848690409517056	white people	White people are dying out.
880639599583911936	non-white people	non-white people are coddled
596359540104245248	feminists	Feminists hate white people.
926581592801374208	non-white people	non-white people want to replace white people
727184052730617856	non-white	Non-white people are rapists.
274250597383938048	non-white people	non-white people are a threat
902968402888798209	white people	White people aren't paying attention.
453269629713272834	Gays	Gays are abnormal
871799604953665536	white people	White people are snowflakes.
623945033998315520	Minorities	Minorities have double standards
425049831778709504	white people	White people are disadvantaged.
867047186944622592	Jews	Jews are devious
921154303615569920	non-white people	non-white people are a threat
730774790689161217	Conservatives	Conservatives are racists.
298127562578722818	Muslim immigrants	Muslim immigrants assault whites
924659617329754112	media	media biased against South Africans
