post_id,text,part
24198545_gab,speak properly lack basic knowledge of biology it truly scary if the public only knew,suffix
18853541_gab,with down syndrome died the guardians response is to help promote a crowd funding campaign for her,suffix
12288710_gab,for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,suffix
5529774_gab,must comply by law time to start organizing for yourselves no one else is gonna do it for you,suffix
10504469_gab,magistrado which is like a high court judge so they were richer than most of the other students families,suffix
20659618_gab,to strap in those moobs,suffix
14564271_gab,see it a dream cheese puff boy go bed it a school night 😉,suffix
17827276_gab,in every country they infest,suffix
1178780987049889794_twitter,lips over the phone wtf,suffix
15801100_gab,a kfc urinal in chicongo on mlk day 😎,suffix
1178799354737565697_twitter,made them in a hurry and forgot to paint them white,suffix
25902138_gab,have been silent on political issues out of fear of losing their 5 0 1 c3 status,suffix
15885342_gab,europe also include the traitors who support the destruction of our people and our ancestral homelands white power,suffix
10945897_gab,will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal,suffix
27513034_gab,is apparently dating some blonde dude,suffix
9831315_gab,he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,suffix
26418398_gab,salamander cries out in extinction,suffix
17464469_gab,how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,suffix
15481820_gab,jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters @462057 pc terminology is part of the brainwashing,suffix
20448576_gab,chance of understanding anything beyond the size of a dick,suffix
20317635_gab,for is sticking a cock down her throat so she can not talk,suffix
4321340_gab,and whose name is visible in the photo the world awaits his lynching with relish,suffix
16135672_gab,a true snake charmer,suffix
25693725_gab,dick lol now i have to deal with widows great,suffix
25637354_gab,by msnbc to stupid to realize it,suffix
27903408_gab,will never allow brexit,suffix
5937259_gab,terrible wave of hate apparently almighty trump controls both the weather bernie supporters,suffix
14375005_gab,who gives a fuck what you think muted dude,suffix
23615794_gab,keeps showing up on my timeline,suffix
21544944_gab,call everyone a racist,suffix
22513839_gab,to fuck off and went in anyway,suffix
4701852_gab,like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,suffix
15837704_gab,manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>,suffix
25346039_gab,common a they both can not feed a family of 877764 @576878,suffix
25948935_gab,added to the royal line therefore ending it royal wedding heritage uk,suffix
14968030_gab,which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,suffix
26046364_gab,princess criminal trash family 🤣,suffix
18144033_gab,pez her so she wised up and jumped,suffix
22397098_gab,a white american dog 😡,suffix
1468975_gab,wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga,suffix
20719350_gab,head you will notice that she has the pupils of a serpent,suffix
19932727_gab,investigation they are low wage workers which will destroy america labor market but you still vote for this goyim,suffix
1177964576173957125_twitter,hair this feels antithetical to the dyke ethos of it all,suffix
1180865_gab,obama will pardon that crooked old lady you are kidding yourself classifiedinfomatters,suffix
11989691_gab,cock oh the irony of such hypocrites,suffix
15813856_gab,put his feelings about my attitude all in all a successful evening although i am sure my wife will disagree when she gets home,suffix
27698974_gab,blamed for the trouble and then a ban will be put on any future brexit or free tommy marches,suffix
20492081_gab,biches ugly ass fuck,suffix
24416711_gab,started to see how the agenda is going,suffix
9658057_gab,from the speakers it turned out to be what apparently passes for country music these days what the fuck happened,suffix
11003094_gab,otoya yamaguchi is in my top 803450 nationalist heroes,suffix
19112164_gab,play which ever side that will get her paid,suffix
19817414_gab,queers is tolerance banning christians is sin cpac is no longer christian,suffix
1178642248004751365_twitter,on not not one look at you and i know i am queer,suffix
4982372_gab,from france former colonies in n africa that how the 2 nd gen moslem terror aka the 480470 montreal massacre happened much more since,suffix
26107989_gab,so he has to ebonics text oz instead,suffix
23154870_gab,arr in a car who is driving a cop,suffix
14832083_gab,it just a matter of accepting we are at war yet we sit on screens love ya all again god bless,suffix
13912847_gab,rabbi who sells bacon,suffix
1179074562870386688_twitter,a child grow up porky,suffix
9976857_gab,against oj and proved that white supremacy is a myth,suffix
12444134_gab,all standards are lowered for you what are you writing your thesis on the colonel 315066 special herbs and spices,suffix
14035101_gab,you a white revolution is on its way,suffix
14714692_gab,walking the dog or letting it get shot by the cops again,suffix
13929673_gab,looking at that white child,suffix
13261438_gab,convert sally jones aka the white widow in syria is confirmed,suffix
18990407_gab,us they have his fucking dna esad thank nature for the tay sachs,suffix
1089761766823940097_twitter,to set fire to this neighborhood,suffix
17016811_gab,them all just to make sure,suffix
12933032_gab,as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here,suffix
20435759_gab,know how america was created,suffix
9747099_gab,cuz at the end of the mumff 🎶 his check will be there 🎶,suffix
1178120616467161089_twitter,your daughter homecoming queen crown this what the fuck yall wanted,suffix
11632794_gab,know what free speech is,suffix
19159387_gab,muppet come on @326744 ‍ you are not sending your best to bullycide us,suffix
6578482_gab,jump onboard coz i need some buzzfeed action to validate my ass,suffix
1178790620896354310_twitter,secured this my head is so hot,suffix
1178749845886164993_twitter,fight for him what a god 😂 😂 😂 😂,suffix
1178358437522137089_twitter,you lose weight in less than a week 😂 😂 😂,suffix
10034563_gab,a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree,suffix
6367052_gab,phone what she doing reporting the carnage back to obama,suffix
18860123_gab,talking on the phone in some gibberish language i do not understand,suffix
15919557_gab,got another lurker account,suffix
15165556_gab,den u ain t no freind of mine,suffix
21206689_gab,housing public transportation subsidies crime costs educational costs societal decay etc,suffix
8888588_gab,murderous animals who da thunk it,suffix
10399732_gab,to fund a start up venture for the instant production of vomit,suffix
26721459_gab,to pilpul your way out of humiliation very talmudic of you bro check with your local rabbis for help to avoid this beatdown next time,suffix
21560468_gab,they have finally named something correctly dating a muzzy is a life sentence 🕋 🔪 ⚰️,suffix
26085254_gab,in free speech running our free speech platforms what do you expect,suffix
23631407_gab,lassen und schon gar nicht in die nähe von meinen kindern,suffix
11994307_gab,fresh wuhih dooda get a good one talk to a managa sum black manager behind the counter i getchyu one mah du hole up,suffix
27856202_gab,saved 691436 lives <happy>,suffix
21509608_gab,d be the first to demand we show it some compassion right dingbat,suffix
10695236_gab,and he going to take a leather shampoo courtesy of paul nehlen boot heel,suffix
15972271_gab,to scared to ever step up in the world again crush their spirits now and brutally at that,suffix
18969876_gab,she was a christian she gave no response after being confronted on it a literal fellow white person,suffix
14864489_gab,giving us a pinata full of lurid sex scandals thanks mexico,suffix
13049396_gab,throw these people off rooftops,suffix
16119996_gab,like in kill bill before he finally dies ✝️ 😇 ✝️,suffix
13606830_gab,nothing could be further from the truth this is wholesale racist discrimination and defamation and we are going to put a stop to it,suffix
27577045_gab,aint gonna let dat shiet slide son,suffix
11778438_gab,being out on a pedestal and the world is shocked,suffix
24569252_gab,not believe the could not get laid excuse,suffix
3525836_gab,chicago police dept have given up result 17% increase in homicides,suffix
16613274_gab,suggest not eating the food there love the shirt tho,suffix
19530127_gab,butthurt at being called a tradthot,suffix
1178930175112691713_twitter,hiding behind a fake name,suffix
14839521_gab,yes queen and i am ded wtf do these things mean,suffix
21869208_gab,age platitudes like only you can poison your soul,suffix
21214738_gab,us nazis idk why it not as though we are coming for them to put them in the ovens yet,suffix
11693941_gab,all the good he did sure he may have spared the us a nuclear holocaust but he cursed it with a demographic hispanocaust,suffix
22405642_gab,white street while screaming i hate white people never be charged with a hate crime,suffix
14033897_gab,if i saw one of them on fire,suffix
20049808_gab,tactics to make the far right look silly as an effort to make sure no one effectively opposes white genocide,suffix
1178965584488230913_twitter,virus he will spread it to others,suffix
12537526_gab,or spook nation ever contributed to america besides leeches criminals and drugs,suffix
14312554_gab,and the goats are not happy,suffix
17585108_gab,why the fuck was he on the crypto report,suffix
17632209_gab,a moslem name registered by stepdad as moslem indonesian many photos of him in moslem rituals garb admitted moslem faith on tv,suffix
23101908_gab,whole reason for being on fox is to try to manipulate people minds to get their votes for his commie partners fuck you juan,suffix
22760187_gab,to coordinate attacks facebook is an accomplice to terrorism,suffix
12548441_gab,acceptable but a roman salute is not,suffix
17179582_gab,they are never able to come up with anything to say to try to prove the other person wrong,suffix
25666114_gab,knocked up or beat up,suffix
17511834_gab,walk into the local kfc so much for chicken strips,suffix
23007090_gab,on atomwaffen and got doxxed,suffix
6921568_gab,the expense of europeans so that they can render those charitable people extinct,suffix
27015103_gab,a good little donkey american,suffix
1178583252631556096_twitter,human rights mee baeh muslim dhivehinge khaalath varah dhera ingeythoww 🥵,suffix
25162683_gab,testing the security of the congregation,suffix
13493684_gab,dykes its a strange world,suffix
12500982_gab,whites act that entitled,suffix
26345561_gab,to death for appropriating their race then it just fun 😄,suffix
5769043_gab,the same species and the truth about drowning picaninies in a bucket,suffix
18957160_gab,get whipped that badly since kunta kinte,suffix
17910247_gab,get what you asked for,suffix
16647204_gab,advertising front man i cannot imagine that good for business,suffix
25858883_gab,you from the face of this earth you better pray there is not a war soon,suffix
12918517_gab,german boyfriend one of my followers was asking and i could not find one handily,suffix
26158212_gab,dont pay taxes or interest,suffix
16171497_gab,dyke out and now regrets it just another bs accusation from an aging actress,suffix
21148969_gab,its scared of yt making it look like a fool,suffix
23014347_gab,once and i have read seige so,suffix
1179094429308719106_twitter,with lies keep doing the same things over over expecting different results socialism will work this time i just know it,suffix
25847294_gab,lord mayor of sheffield,suffix
1179057199865315328_twitter,because he is a different option 🙈,suffix
1179100968660717568_twitter,messiah mother goose of all fables now they label her as a successor of christ will they kill her like they killed christ,suffix
1177927419740770304_twitter,white 😂 😂 ❤️ ❤️ ❤️ ❤️,suffix
19138333_gab,are you can expect fake deaths i would prefer real ones,suffix
23331323_gab,make sense the only reason i think you could be saying these things is if you are a subverter yourself,suffix
9617009_gab,sharia in america that makes women all but slaves not going to happen vote dems out of congress 5/18/2007 @484800 make america great,suffix
13794784_gab,babies but they keep taking my petition down and now i must be banned cuz i cant start a new one 😡,suffix
14963895_gab,if you give him the suggestion perhaps he fundraise for charity to actually help child trafficking victims and you will hear such a profound silence,suffix
24519642_gab,from people who hate them any simian willing to ape basic bitch talking points for a banana will do,suffix
27713812_gab,the white man pulls the trigger,suffix
1179091525571141632_twitter,systems dwg this ain t nothing,suffix
20044778_gab,councillors the war has been started by those people not doing their jobs so you drop dead eh,suffix
20236732_gab,man lmao relax moolie you know niggas is always late stop hyperventilating he will give ya <money> soon enough,suffix
17910790_gab,beta who has to badger women until he orgasms mpc status updates,suffix
1178757318743351296_twitter,and live off of american taxpayers that the original vision white enslavement 😉,suffix
12864664_gab,along nothing new to see here,suffix
22793395_gab,watched a game in years and never will again they can take a knee and fuck off,suffix
27150234_gab,was written during captivity in babylon compare the myths,suffix
19899719_gab,who shot up a school had a loose connection to some larping white nationalists,suffix
24436328_gab,not get life behind bars or deportation,suffix
26474064_gab,other monkeys good thing that stick is in his way,suffix
20301314_gab,motherfucker we all listen to it at work everyday,suffix
25475856_gab,ya at the next red light nigga,suffix
10212367_gab,who come here to beg for acceptance @870324 @351447,suffix
13298171_gab,ask the inquisitors conquistadors and spanish communists,suffix
14097715_gab,will make even the best of us do crazy things university of hartford justice for jazzy,suffix
1179061254083813378_twitter,a joke and no one would get upset good times,suffix
22549644_gab,prison dude on the bottom should come to america and make more videos,suffix
16871630_gab,ass with bare hands shitting in public etc stay away from non moslem lands,suffix
1179082312123916292_twitter,too retarded wtf im going to try be a calmer person from now on,suffix
22545451_gab,about 597917 234081 lbs and had a hybrid sheep dog string mop weave on his haid,suffix
12632852_gab,his friends can barely read and write,suffix
22820614_gab,in the uk for their crime the whole community must be expelled,suffix
27263628_gab,data mining site that removed the capability of communication between brothers and sisters the war is hot 😠,suffix
15889662_gab,heads reading their teleprompters why can not we have hotter smarter ones,suffix
1179073593508077568_twitter,holds them like a damn toy i fucking hate mothers who do not do right by their kids,suffix
1178816674428010499_twitter,of you mf are as stupid as a bag of dog shit 🤦 🏾 ‍ ♂️,suffix
11624742_gab,868497 819796 white power 4 th reich hitler did nothing wrong,suffix
24032034_gab,many levels you suck 😨 😠 👹 💩 👹 💩 👹 💩 👹 💩,suffix
4972974_gab,i left the willow whisps to roam jeffrey lee pierce,suffix
3522664_gab,the middle ges chastity belts coming back in style 🤔 🤕 😁,suffix
22939146_gab,bich wit a crinkle cut brillohaid,suffix
18221064_gab,that was busted at an airport with a wizinator,suffix
6876503_gab,when you obey the rothschilds you get you caymen account padded,suffix
22888361_gab,sorry clone zero guilt in my entire lineage never has been never will be what a sorry ass excuse for a human being you are,suffix
6599975_gab,destroying children love of christmas everywhere stephan colberts writer daniel kibblesmith penned this new christmas book maga @591736 @366911,suffix
23192371_gab,ll get the vast majority of its offense and pitching this year as usual from white players and whose fanbase is overwhelmingly white,suffix
10912897_gab,of course she forces her model into a hijab,suffix
1178760102012174338_twitter,guys is a fucking disease,suffix
19110403_gab,do no we stand and fight for our nation and by extension our race blood and soil,suffix
19589481_gab,wrote it duh it does not matter they are all jews,suffix
14974204_gab,conyers raping white women on the taxpayer dime,suffix
14290828_gab,men dickriders ffs everyone knows that black males do nothing but dickride does anyone even know what that means it sounds nasty,suffix
16277244_gab,my taxes so we will never know if you are making more than me cultural appropriation is never pretty on brownies,suffix
24817947_gab,ag works at the president leisure he can tell the ag to arrest them,suffix
9500360_gab,great place to verify the usefulness of thermobaric munitions,suffix
1179060381970567170_twitter,and these females condoning it restoring the honor,suffix
1179059616677814273_twitter,like i will not slap the shit out of mf disrespecting me 😑 and best believe im out too dumb ass mf,suffix
1179048575143153666_twitter,to drive i will be committing murder,suffix
1179091307270168577_twitter,cute might seig heil later idk,suffix
7679594_gab,yet can be a victim what horseshit good for taylor for exposing this,suffix
12663162_gab,you the question again yes please to the charges regarding racism in the workplace do you plead guilty or not guilty,suffix
14263294_gab,does more to help white kids than anyone else ive seen 😎,suffix
19191932_gab,because he has a tiny dick and thinks he is smart,suffix
14949935_gab,that needs a horrific reckoning,suffix
15453243_gab,i am not the only juan i hope someday you will join us and the world will be as juan,suffix
16204881_gab,harm by other entitled citizens of color show of hands who thinks this is ok,suffix
17622816_gab,can go fuck gayle,suffix
10532619_gab,to be pushed off that continent we took north america they will take africa and so the true great contest begins,suffix
17382671_gab,not understand how it violates any of twitter rules tho,suffix
27002624_gab,pride or any if the others just white pride month,suffix
24642826_gab,rappers ball players with the same ferocity with which they attack toxic white men,suffix
16980692_gab,you can wear them in the oven,suffix
15920541_gab,probation if a white person commits some light vandalism and throws some bacon around they get 240507 years in the fucking slammer,suffix
18437791_gab,defines a race but it does not it defines a character,suffix
25649190_gab,the fuck out like it a dude,suffix
13587865_gab,a stick so edgy,suffix
19017382_gab,too familiar with them it just funny that the white knights call some of us thot patrollers nazbol implying we are communists is alexander dugin nazbol,suffix
24606990_gab,dad you declare a rapist to be america dad,suffix
19581918_gab,this post very much,suffix
20332357_gab,most significant thing he knew from his assemblies of dunces,suffix
16921944_gab,at the back of the plane,suffix
22463051_gab,be carrying out in the open fucking virtue signaler,suffix
14835583_gab,smokes and a drink about a year ago,suffix
11200562_gab,being bullied pretend they r freedom fighters side with those bullying them and attack conservatives who defend themselves while accusing them of being bullies,suffix
16612870_gab,off the rails just does not jive with social justice warriors snowglobe,suffix
21649243_gab,@177619 ‍ told me not to,suffix
27495585_gab,epic and it got its page shut down she kept screaming you think you are prettier than me because you are white i said yep,suffix
14602552_gab,i already knew severe mental illness and obnoxious to boot,suffix
20397801_gab,to control the language so they can control the issue,suffix
1178604033570947072_twitter,to a mud shark,suffix
23771471_gab,sexual confuion is in question now 👹 💩,suffix
11947456_gab,like you have no shame,suffix
7981655_gab,dollar store cause shes a single mom,suffix
23056586_gab,this time oh wait,suffix
12894603_gab,a great example of reaching across the aisle so to speak if true,suffix
1179087440377794561_twitter,they take down all the confederate statues along monument avenue and replace them with memorials to trayvon on a horse cause he dindu nuffin,suffix
11352243_gab,mayor then at least elect a high voodoo priest,suffix
1178532952030011397_twitter,the hard r like he not darker than asphalt,suffix
7875367_gab,embarrassment to the country those so called journalists are the embarrassment to the country,suffix
18350404_gab,tv to say shuddit down nigga dat top kek,suffix
20174754_gab,dole now so no stress and income for life,suffix
24438781_gab,death of white western civilization,suffix
1178174090739253249_twitter,thought he was cutting dog meat,suffix
18436011_gab,sue on the grounds that he was fired because yu iz rayciss,suffix
18358793_gab,pedos clean your own backyard juan,suffix
9173465_gab,back to australia is granted we dont want the bastard to be kind we should send him his entire family stamp never to return,suffix
21803415_gab,spandex how to do minor jabs and kicks if you buy the video at 234412 bucks a pop,suffix
24119382_gab,that can not spell spaniard,suffix
23363837_gab,in london and a six bedroomed manor house with land in the the country of shropshire nice one corbyn you scummy fake socialist,suffix
11249320_gab,buckingham palace a uber driver we need to know,suffix
3639199_gab,ranting about muh free trade and protectionism,suffix
14791699_gab,143707 by crashing planes into twin towers and pentagon a message to the democrats shat heads leave our guns the hell alone,suffix
15595723_gab,on him if he were on fire hit up her patreon goy she might notice you lol,suffix
18906315_gab,who get plastic surgery to look more white a ton of white women who let themselves become obese,suffix
27546625_gab,2 fer lol the persecution of the jews will always remain one of life greatest mysterious,suffix
17562062_gab,he is such a handsome hound it completely irratonal not that i d ever do it on purpose of course <kiss>,suffix
17759444_gab,job aside from black woman does dance for visiting white person,suffix
15909105_gab,people feel less guilty a tr @767580 gay husband americahaterinchief america hating globalist elitist piece of trash arrogant pompous narcissistic thug attention hound,suffix
6016299_gab,yugoslav republic with mental health problems hes a kosovan muslim immigrant with no mental health problem other than being moslem,suffix
21209681_gab,the uk our police will not do anything about it because they are busy engaging in this degeneracy,suffix
19580240_gab,on gab you are doin it wrong <happy> i hope you get better soon flu sucks,suffix
11142985_gab,christ saying name of jesus to do the work of the devil,suffix
26502494_gab,look like aunt jemima,suffix
27189166_gab,so the ab or whoever can ream him out before shanking him my best wishes to the female cop who absorbed his attack,suffix
17420462_gab,slid right off 😹,suffix
15174706_gab,piece of garbage would ever sleep with her,suffix
26424935_gab,a bullet proof vest lmao,suffix
12052665_gab,a far more tolerant approach only imprisoning priests believers when they opposed him knowing the appeal of racialism meant time was on his side,suffix
27654476_gab,land whales is the most reported,suffix
10037602_gab,incarceration rate fuck your lives they do not matter to us fuck you we do not want you or need you all smart white people,suffix
9377220_gab,trump i found myself wondering what congressional sports teams she plays on and where and when they hold their practices,suffix
1179013740613816321_twitter,or with children are looking to be saved i hate that,suffix
20898872_gab,should die in halal fashion,suffix
3130374_gab,coming to steal kill and destroy just like jesus said they would john 18:31 kjv,suffix
19941841_gab,penis size weird dyke move,suffix
22750351_gab,have a big poster of him hanging on your wall,suffix
12370283_gab,central look at this gem from trump un speech,suffix
1178195367982227456_twitter,hate white girls yo,suffix
17057906_gab,she was well pissed over the limit should have jailed here then kicked her and her family out of the uk,suffix
23788932_gab,anything derogatory about trump decision he shit on idiot boy trudeau until he gone,suffix
13286906_gab,heard something like that years ago remember that it got hushed up by the media real quick like 🤔,suffix
11580960_gab,actually wrote that for this affirmative action push along toy,suffix
1179009569802117120_twitter,waste your time go fuck on his homeboy,suffix
18593688_gab,buy them out so yeah,suffix
24265566_gab,here would melt in the grocery aisle,suffix
7615090_gab,am the 865107 7 0 0 th amalek alt comics loli tips for new voaters kys life hacks how to shill with puttitout music monday more v cheers trash,suffix
1178355316729303042_twitter,ha she forgets we grew up in the south side of laredo 😂,suffix
27470117_gab,humblebrag remains divorced with no meaningful prospects will likely die surrounded by cats many such cases,suffix
25560967_gab,was involved but everybody knows better,suffix
9788820_gab,get tortured to death slowly,suffix
19134180_gab,make a crime and go to jail and there he meets dad in the neighbour cell,suffix
25935069_gab,i can put up with but fuck this,suffix
16475631_gab,shitter shattered about my posts is you i have gained steady followers from my posts itt i will keep posting especially so your old pissflaps stay irritated,suffix
21393137_gab,narrative it can still be seen and challenged by the public,suffix
20317918_gab,be a soy farmer,suffix
1178631491783397376_twitter,unstable creatures when you ain t got a nigga,suffix
10611120_gab,incapable of learning to archive,suffix
24290896_gab,violent that totally without precedent,suffix
9740572_gab,been confirmed dead rem mussie ohell creator of isis let him out of gitmo to become isis leader used asswipe yes both of them @832805 @261361,suffix
15297898_gab,it even possible that kids are also raped inside that,suffix
15882285_gab,event 😂 😂 😂 typical thot hates trump yet slept with serial adulterer and frequent user of prostitutes tiger woods 🙈 🙈 gab fam speak freely,suffix
16222828_gab,for almighty god crawls back into slime hole,suffix
1178801987653160960_twitter,is a big consumer market for greedy western muslim countries so they are ignoring oppression with minorities by modi hitler in kashmir under threat india,suffix
12568127_gab,church was an immigrant from from sudan,suffix
15152821_gab,moslem ones are only difference is they do not engage in terror attacks yet issue is racial non whites have no place in white lands period,suffix
1277253_gab,telling us are not you late for blowing up a building or something,suffix
6098659_gab,deported back in a coffin,suffix
8416696_gab,said is not offensive to me heard the word my whole life but the double standard is ridiculous,suffix
18229799_gab,manages to eat his own anus,suffix
4480271_gab,death because she wasnt wearing a seatbelt while flying the more you know maga gab fam,suffix
2911030_gab,noise it will be a sharp rise in murder rates across the country our own leos will keep us from retaliating,suffix
15467195_gab,his dear leader allied with too,suffix
19945326_gab,say execution 3:5 made me wonder does he mean prince charles,suffix
8297655_gab,issue i d rather find common cause with both factions i am sure a christian would provide you better discussion on the matter,suffix
26943747_gab,pissed off the new leftist leader barack hussein obama,suffix
1179012360482123777_twitter,countries cuz i heard most overseas pakistanis are ashamed of revealing their real identity,suffix
10427435_gab,not pull off even pretending to be pro speech it just wants to cut things into swiss cheese safespace hugboxes for it weakminded little self gab fam,suffix
20915407_gab,with an i.q. of 570944,suffix
23930277_gab,140389 van job done,suffix
25532099_gab,vey look at the fucking state of it,suffix
