post_id,label,target,text,prefix,suffix
1179088797964763136_twitter,hatespeech,Asian,<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔,<user> i am bit confused coz chinese ppl can not access twitter thn,how this ching chong using it i think he pakistani 🤔 🤔 🤔
1179085312976445440_twitter,hatespeech,Caucasian,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,this bitch in whataburger eating a burger with no top,bun and holding it palm up i hate white bitches
13851720_gab,hatespeech,Jewish,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,laura loomer raped me while screaming at me in her disgusting,kike language and said we must exterminate the goyim laura loomer loomergate
24198545_gab,hatespeech,African,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,and this is why i end up with nigger trainee doctors who can not,speak properly lack basic knowledge of biology it truly scary if the public only knew
19679648_gab,hatespeech,African,guilty until proven innocent unless you are a jew a nigger or a lover of both,guilty until proven innocent unless you are a,jew a nigger or a lover of both
15858421_gab,hatespeech,African,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future,doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters
23844035_gab,hatespeech,Islam,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with,their muzzie master there no great in britain anymore soon big ben will be converted into a minaret
15544666_gab,hatespeech,Jewish,lol what a stupid kike,lol what,a stupid kike
14104384_gab,hatespeech,Caucasian,why does anyone care what the albino nigger has to say,why does anyone care what,the albino nigger has to say
12533510_gab,hatespeech,Jewish,this sounds like a kike national socialist,this sounds like,a kike national socialist
18853541_gab,hatespeech,African,a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,a negro moslem doctor got struck off for negligence when a white <number> year old kid,with down syndrome died the guardians response is to help promote a crowd funding campaign for her
1179089882095874048_twitter,hatespeech,Homosexual,you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>,you stupid motherfucking dick just why dont you over dribble your ass,and get the fuck out of the club you fucking faggot <user>
24760322_gab,hatespeech,African,the flag of the maga fags in all it glory it comes with nigger red shoes too,the flag of the maga fags in all,it glory it comes with nigger red shoes too
22421440_gab,hatespeech,Homosexual,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black,hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life
19364824_gab,hatespeech,African,just another dumb nigger,just another,dumb nigger
13799524_gab,hatespeech,African,have you proven your gender yet nice profile pic by the way oh im a nigger too,have you proven your gender yet nice profile,pic by the way oh im a nigger too
16637220_gab,hatespeech,Jewish,they are going to figure out a way to kike bitcoin,they are going to figure,out a way to kike bitcoin
4120510_gab,hatespeech,Jewish,<user> the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike,<user> the cunt of a retarded nigger pissed,beads of shit into asshole of a jew kike
16495970_gab,hatespeech,African,ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol,ok give us your defense of nigger dogs tell us how they are not all like that,lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol
12288710_gab,hatespeech,Islam,<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come,for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler
2992367_gab,hatespeech,Jewish,<user> you first kike,<user> you,first kike
27064690_gab,hatespeech,African,jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,jew should be hated they are a disease that needs to eradicated from among white folk they,and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation
25160519_gab,hatespeech,African,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take,advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight
13534065_gab,hatespeech,Arab,yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it,yet another sand nigger slaughters innocents hey libscum i hope your sweet little,tender daughters are next you brought this scum here now live with it
