post_id,text,part
1179088797964763136_twitter,@769288 i am bit confused coz chinese ppl can not access twitter thn,prefix
13851720_gab,laura loomer raped me while screaming at me in her disgusting,prefix
24198545_gab,speak properly lack basic knowledge of biology it truly scary if the public only knew,suffix
19679648_gab,guilty until proven innocent unless you are a,prefix
23844035_gab,173750 263867 47% of brits think multiculturalism is a failure i guess the other 92% are happy with,prefix
15544666_gab,lol what,prefix
14104384_gab,why does anyone care what,prefix
12533510_gab,this sounds like,prefix
18853541_gab,with down syndrome died the guardians response is to help promote a crowd funding campaign for her,suffix
22421440_gab,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black,prefix
19364824_gab,just another,prefix
13799524_gab,have you proven your gender yet nice profile,prefix
16637220_gab,they are going to figure,prefix
12288710_gab,for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,suffix
2992367_gab,@373714 you,prefix
5529774_gab,must comply by law time to start organizing for yourselves no one else is gonna do it for you,suffix
24977683_gab,lol that why i wear them i have had,prefix
10504469_gab,magistrado which is like a high court judge so they were richer than most of the other students families,suffix
20659618_gab,to strap in those moobs,suffix
14564271_gab,see it a dream cheese puff boy go bed it a school night 😉,suffix
17827276_gab,in every country they infest,suffix
1178780987049889794_twitter,lips over the phone wtf,suffix
1178503399962300416_twitter,i hate,prefix
1178477971960672257_twitter,you all,prefix
1178382366080950276_twitter,man i,prefix
1117488989362098177_twitter,saved the uk,suffix
15801100_gab,a kfc urinal in chicongo on mlk day 😎,suffix
1178799354737565697_twitter,made them in a hurry and forgot to paint them white,suffix
23018207_gab,you are,prefix
25902138_gab,have been silent on political issues out of fear of losing their 5 0 1 c3 status,suffix
18721090_gab,the labour party has 546878 mps in prison for paedophilia 110548 mps and councillors on the sex registry 647361,prefix
15885342_gab,europe also include the traitors who support the destruction of our people and our ancestral homelands white power,suffix
10945897_gab,will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal,suffix
27513034_gab,is apparently dating some blonde dude,suffix
22676555_gab,lol get a,prefix
9831315_gab,he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,suffix
1178571782313463810_twitter,@331026 bernardo is,prefix
26418398_gab,salamander cries out in extinction,suffix
1179012930681085952_twitter,@488317 you need potassium eat,prefix
1163163689027022851_twitter,honestly man most of,prefix
17464469_gab,how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,suffix
15481820_gab,jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters @462057 pc terminology is part of the brainwashing,suffix
22358188_gab,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in,prefix
20448576_gab,chance of understanding anything beyond the size of a dick,suffix
20317635_gab,for is sticking a cock down her throat so she can not talk,suffix
1178668370209771522_twitter,why are we having all these,prefix
19206277_gab,the only rationale i can see for trump not firing prosecuting rosenstein,prefix
24241045_gab,people are getting pissed about the,prefix
20179103_gab,angry,prefix
4321340_gab,and whose name is visible in the photo the world awaits his lynching with relish,suffix
1081082371913465861_twitter,this is the year you all get r kelly,prefix
1178763845369597952_twitter,blow my mind,suffix
16135672_gab,a true snake charmer,suffix
1178864197884616704_twitter,@767330 @683041 @540931 @778488 kick,prefix
10618535_gab,you guys in germany and us men here in america too we are,prefix
16877029_gab,the,prefix
25693725_gab,dick lol now i have to deal with widows great,suffix
13362012_gab,rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination,prefix
25637354_gab,by msnbc to stupid to realize it,suffix
27903408_gab,will never allow brexit,suffix
5937259_gab,terrible wave of hate apparently almighty trump controls both the weather bernie supporters,suffix
3649082_gab,fakebook just suspended me 958779 days for insulting rosie odonnell for calling trump mentally insane,prefix
14375005_gab,who gives a fuck what you think muted dude,suffix
23615794_gab,keeps showing up on my timeline,suffix
21544944_gab,call everyone a racist,suffix
22513839_gab,to fuck off and went in anyway,suffix
4701852_gab,like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,suffix
15837704_gab,manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>,suffix
24921934_gab,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little,prefix
25346039_gab,common a they both can not feed a family of 877764 @576878,suffix
15186957_gab,good riddance to,prefix
20773435_gab,saint sir adolf was the most lied about person in,prefix
20187632_gab,white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that,prefix
1179014962741743616_twitter,@219893 coming from a,prefix
1179062513071218691_twitter,silver medicine in my pants,prefix
1178184970105446400_twitter,if i followed you and you did not follow back,prefix
15239458_gab,whitey prevails for a change miss south africa beats out,prefix
25948935_gab,added to the royal line therefore ending it royal wedding heritage uk,suffix
18979487_gab,is luke ford on a mission to infiltrate,prefix
14968030_gab,which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,suffix
21290000_gab,@450919 agusta main or texes which state you live in tossa people,prefix
26046364_gab,princess criminal trash family 🤣,suffix
18144033_gab,pez her so she wised up and jumped,suffix
24772570_gab,this what happens when little adam is,prefix
22397098_gab,a white american dog 😡,suffix
25337115_gab,sacrifices must be made i agree screw that,prefix
1468975_gab,wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga,suffix
1179094068338409473_twitter,@485816 @926536 notice the,prefix
1178842469858824192_twitter,damn hillbilly ppl,suffix
14357997_gab,shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i,prefix
11783475_gab,the first white president since were going into skin color now obama,prefix
15782348_gab,there was no islamic holy violence,prefix
22086860_gab,hitler remastered video,suffix
20719350_gab,head you will notice that she has the pupils of a serpent,suffix
19932727_gab,investigation they are low wage workers which will destroy america labor market but you still vote for this goyim,suffix
1178448891009753088_twitter,brown fuck with us,prefix
1177964576173957125_twitter,watching the rugby game and the entire other team has long,prefix
1177964576173957125_twitter,hair this feels antithetical to the dyke ethos of it all,suffix
13565733_gab,is it gonna be you you said they offered to let you be in playboy in the 633454 maybe they are,prefix
16188142_gab,lol at @156322 thinks,prefix
21037896_gab,showa time for,prefix
22612297_gab,@167537 ian timings opinions are only those of a,prefix
22088480_gab,you are arguably pretty stupid to not recognize that ecological collapse means no,prefix
21752351_gab,folks i do not wana be greedy so today i ama start da same program i had on twitter so,prefix
26830977_gab,bites the dust,suffix
14252363_gab,@913009 i want to,prefix
