post_id,prefix,label,target
1179088797964763136_twitter,<user> i am bit confused coz chinese ppl can not access twitter thn,hatespeech,Asian
1179085312976445440_twitter,this bitch in whataburger eating a burger with no top,hatespeech,Women
13851720_gab,laura loomer raped me while screaming at me in her disgusting,hatespeech,Jewish
24198545_gab,and this is why i end up with nigger trainee doctors who can not,hatespeech,African
19679648_gab,guilty until proven innocent unless you are a,hatespeech,African
15858421_gab,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future,hatespeech,African
23844035_gab,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with,hatespeech,Islam
14104384_gab,why does anyone care what,hatespeech,Caucasian
18853541_gab,a negro moslem doctor got struck off for negligence when a white <number> year old kid,hatespeech,Islam
1179089882095874048_twitter,you stupid motherfucking dick just why dont you over dribble your ass,hatespeech,Homosexual
24760322_gab,the flag of the maga fags in all,hatespeech,African
22421440_gab,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black,hatespeech,Islam
13799524_gab,have you proven your gender yet nice profile,hatespeech,African
16637220_gab,they are going to figure,hatespeech,Jewish
4120510_gab,<user> the cunt of a retarded nigger pissed,hatespeech,African
16495970_gab,ok give us your defense of nigger dogs tell us how they are not all like that,hatespeech,African
12288710_gab,<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come,hatespeech,Islam
27064690_gab,jew should be hated they are a disease that needs to eradicated from among white folk they,hatespeech,African
25160519_gab,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take,hatespeech,African
13534065_gab,yet another sand nigger slaughters innocents hey libscum i hope your sweet little,hatespeech,Islam
5529774_gab,yet when a couple of filthy dykes want you to pander to their sins as you see them you,hatespeech,Homosexual
24977683_gab,lol that why i wear them i have had,hatespeech,Islam
10504469_gab,reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a,hatespeech,Jewish
20659618_gab,damn dat wetback needs,hatespeech,Hispanic
14564271_gab,i tire with you all day same just blah blah blah kike you will,hatespeech,Jewish
1174145333212930049_twitter,you niggers need to,hatespeech,African
17827276_gab,that is the muzrat strategy,hatespeech,Islam
18743549_gab,sorry about the nigger comment but,hatespeech,African
23463421_gab,nd only <percent> nigger but jewish culture,hatespeech,African
1178780987049889794_twitter,this nigger calling me juicy,hatespeech,African
26478596_gab,hop sing no jew yes but i bet they looked for a jew to play his part then came to,hatespeech,Asian
15801100_gab,microchip has had more nigger cocks in him than,hatespeech,African
4105410_gab,god bless james earl ray putting down that nigger mlk,hatespeech,African
1178854367929106432_twitter,fucking ulgly ass bitch ass stinky ass bitch ass nigger,hatespeech,African
1178799354737565697_twitter,god made the niggers he made them in the night he,hatespeech,African
25902138_gab,the muzzies and black churches have always been given a pass this primarily helps conservative churches that,hatespeech,Islam
18721090_gab,the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number>,hatespeech,Islam
15885342_gab,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying,hatespeech,African
10945897_gab,it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion,hatespeech,Islam
27513034_gab,that his sister sheboon friend melissa,hatespeech,African
9831315_gab,pls call this coon out for the of impoverished blks living on he brink while,hatespeech,African
26418398_gab,the chink salivates as the,hatespeech,Asian
1179012930681085952_twitter,<user> you need potassium eat,hatespeech,African
1163163689027022851_twitter,honestly man most of,hatespeech,Homosexual
17464469_gab,ah shit i forgot a sheboon stole an idea from a white person and made god a black woman,hatespeech,African
15481820_gab,make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo,hatespeech,African
22358188_gab,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in,hatespeech,Islam
20448576_gab,a negress too dumb to fuck has a scant,hatespeech,African
20317635_gab,fuck what this kike cunt has to say only thing she is good,hatespeech,Jewish
1178668370209771522_twitter,why are we having all these,hatespeech,Refugee
19206277_gab,the only rationale i can see for trump not firing prosecuting rosenstein,hatespeech,Jewish
24241045_gab,people are getting pissed about the,hatespeech,Islam
15724226_gab,if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago,hatespeech,Homosexual
4321340_gab,<user> lets see what they will do to the smelly kike who composed that tweet,hatespeech,Jewish
27652218_gab,i have found another degenerate who is pushing smut on gab not a joke he is actually promoting,hatespeech,Jewish
1081082371913465861_twitter,this is the year you all get r kelly,hatespeech,African
14549463_gab,i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and,hatespeech,African
1178864197884616704_twitter,<user> <user> <user> <user> kick,hatespeech,Arab
15730084_gab,nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a,hatespeech,African
10618535_gab,you guys in germany and us men here in america too we are,hatespeech,Islam
25693725_gab,wonder which nigger i bullycided was giving you the,hatespeech,African
13362012_gab,rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination,hatespeech,Islam
25637354_gab,joy reid the token nigger used,hatespeech,African
27903408_gab,your muzrat gov t,hatespeech,Islam
