post	target	implied_statement
" rt  "" white privilege "" "" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """	minority groups	people in minority groups are all in gangs
if you are white in that state watch yourself !	non-white people	non-white people are dangerous
so the 500 % increase in h1b visas ? yeah i'm sure that will win over voters .	Immigrants	Immigrants are undesirable
" rt antiwhites expose their hatred of white kids after seeing this picture . white child =  "" white supremacy "" "" """	Anti-whites	Anti-whites hate white people
capitalism  like communism  is an enemy of the white race .	Capitalists	Capitalists don't like white people.
dems have also invented a vast black / white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster	Democrats	Democrats are manipulative liars.
" more anti-jew hate from  "" nothing to do with islam "" "" """	Islamists	Islamists hate Jews
pakistani sex-gang attacks covered up for fear of racism #swrm via	Pakistani people	Pakistani people are dangerous.
" rt :  "" black lives matter & antifa can show up with mace  acid & baseball bats "" "" .. while your far right romp u """	BLM	BLM is violent.
yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room	Immigrants	Immigrants are inferior
in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !	white people	White people are better than other races.
soon  white people will not be a majority anywhere . you believe	Minorities	Minorities want to take over the world.
populist = american . so racist is code for anti-white  populist = american . as opposed to rentier transients .	whites	racism towards whites
good ! man i'd hate to be a native born white in any of those cities .	white people	White people are in trouble.
it is like calling people a witch . one day white people won't fall for it	White people	White people are too smart to be fooled.
i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .	Minorities	Minorities are substandard people
do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white	Whites	Whites are racists
" hate crime hoax in austria : muslims set fire to their own business and leave  "" racist "" "" graffiti to mislead inve ... """	Muslims	Muslims are violent.
you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !	Jews	Jews hate white people.
yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .	white people	White people can do more than Mexicans.
white identity is timelesa	non-white people	non-white people are inferior
do you think those bars on the windows are to keep out all the white people ?	white people	White people are dangerous.
" oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  "" raising black families is dangerous . "" "" "" "" ali families . "" "" """	Blacks	Blacks are hypocrites
" no ! remember  hate means  "" white hate "" ""  racism means "" "" white racism "" "" & hillary is innocent no matter what . """	non-white people	non-white people are the real racists
selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...	Blacks, northerners and jews	Blacks, northerners and jews pretend to be superior
no  not them . they're on the stupid side of the spectrum  but they're not vocal white power enthusiasts ( etc ) .	white people	White people are stupid.
" 15 of the 19 hijackers were saudi arabia.saudi arabia is our  "" ally "" "" """	Arabians	Arabians are criminals.
: and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying	black athletes	Black athletes are paid too much.
white people pretending to be blackfify	white people	White people want to be black.
mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !	Mexicans	Mexicans are morally weak.
and because of this  white americans are losing their home and country .	Minorities	Minorities are pushing out whites
white people don't belong in civil	Whites	Whites are heathens
i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?	Jews	Jews are devious
black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .	non-white people	non-white people are inferior
this is what these people took to america  sancho	immigrants	immigrants add to America
kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of	Jews	Jews are money grubbers
" so are all white americans going to be called  "" borderers "" "" now ? """	Progressives	Progressives mischaracterize whites
lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .	white people	White people should be proud of their race.
as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how	white people	White people are trash.
the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us	non-white people	non-white people are criminals
extinction of america's white population speeds up via	Immigrants	Immigrants are invading America
muslims are always wanting to kill someone ! its their duty to kill the infidel .	Muslims	Muslims are violent
is zuma talking about seizing white land or not ? are you denying it ?	Blacks	Blacks steal whites property.
i'm anishinaabeg from deshkan ziibi . goodnight white pride !	white people	White people are superior.
" proliferating anti-white agenda  "" """	Minorities	Minorities are opposed to whites
. there is dangerous power in using ' scientific ' findings to undermine gay marriage	Gays	Gays are abnormal.
i am now a white nationalist	Minorities	Minorities are subpar human beings
estonia : 1000 white nationalists protest against non-white invasion | more : via	white people	White people don't like non-white people.
" rt : how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel # r ... """	jews	jews hate white people
is currently leading the race for top #cuckservative on twitter	conservative men	conservative men are not masculine
white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites	white people	white people are hypocrites
altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .	Blacks	Blacks are low quality.
hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?	non-white people	non-white people are a threat
the kkk . how old does my little boy need to be to join ?	Minorities	Minorities are inferior.
unarmed white man murdered by police in tx . where was his white privilege ?	Minorities	Minorities accuse whites falsely
you might be right about that  idk . i still think the movement would benefit from more love for our blood and less hate for non-whites .	Minorities	Minorities are inferior to the white race
horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via	Arabs	Arabs are evil and hate white people
: black slavery only matters when it can be blamed on white southerners . or when it can make white sj	Black people	Black people are whiners
are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion	non-white people	non-white people are inferior
